City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Ruy Barbosa,BR,70.97,broken clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
259,Canguaretama,BR,74.17,clear sky,-6.38,-35.1289,Pousada do Italiano
261,Axim,GH,74.43,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
269,Padang,ID,76.69,overcast clouds,-0.9492,100.3543,Mercure Padang
271,Katsuura,JP,77.02,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
273,Cabra,ES,70.79,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
274,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
278,Warangal,IN,75.31,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
288,Kindu,CD,71.65,overcast clouds,-2.95,25.95,Résidence Okanda
306,Balaguer,ES,74.88,overcast clouds,41.7912,0.8109,Hotel Balaguer
308,Labuhan,ID,76.82,broken clouds,-6.8844,112.2051,DoubleFAG
309,Touros,BR,75.38,clear sky,-5.1989,-35.4608,INN NEW HORIZON
310,Praia Da Vitoria,PT,75.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
311,Harper,LR,75.04,few clouds,4.375,-7.7169,Screensaver
312,Formiga,BR,68.07,clear sky,-20.4644,-45.4264,Victor Plaza Hotel
316,Sisophon,KH,75.22,moderate rain,13.5859,102.9737,Pyramid Hotel
317,Boysun,UZ,70.81,clear sky,38.2061,67.1986,Gaza Hotel
318,Gambela,ET,70.03,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
326,Dingle,PH,75.85,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
328,Bassila,BJ,72.36,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
330,Nandyal,IN,76.1,heavy intensity rain,15.4833,78.4833,Hotel Shobha
341,Chapais,CA,71.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
342,Mogadishu,SO,75.45,few clouds,2.0371,45.3438,Hotel Juba
344,Villafranca De Los Barros,ES,70.0,broken clouds,38.5614,-6.3381,Hotel Acosta Ciudad de la Música
350,Matagami,CA,71.71,broken clouds,49.7502,-77.6328,Motel Le Caribou
354,Kushima,JP,74.12,overcast clouds,31.4583,131.2333,Hanaoka
357,Jacarau,BR,70.48,clear sky,-6.6122,-35.2928,POUSADA DO JOSA
359,Hami,CN,76.95,clear sky,42.8,93.45,Laoyutang Resort
360,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
363,Huilong,CN,77.94,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
366,Amuntai,ID,72.81,overcast clouds,-2.4177,115.2494,Hotel Balqis
367,Mwene-Ditu,CD,76.28,clear sky,-7.0,23.45,African'zuri
372,Gorontalo,ID,73.49,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
380,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
382,Cap Malheureux,MU,68.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
384,Lamu,KE,75.42,clear sky,-2.2717,40.902,Lamu House
389,Corinto,GR,71.89,clear sky,37.9407,22.9573,Ephira Hotel
397,Inhambane,MZ,70.52,overcast clouds,-23.865,35.3833,Oceano
398,Three Hills,CA,77.07,scattered clouds,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
405,Tessenderlo,BE,68.76,overcast clouds,51.0655,5.0867,Eikelhof
407,Jalu,LY,77.86,clear sky,29.0331,21.5482,صاحبة الفخامة
410,Buchanan,LR,76.3,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
424,Bertoua,CM,68.58,moderate rain,4.5833,13.6833,Hotel De Paris
425,Doume,CM,70.25,light rain,4.2333,13.45,Hotel Universel
428,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
431,Polis,CY,75.02,clear sky,35.0367,32.4264,Marion
432,Nara,JP,77.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
439,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
442,Kupang,ID,73.44,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
444,Liwan,PH,75.45,broken clouds,17.5191,121.632,PARANG PARAISO RESORT AND FISHPOND
451,Mehriz,IR,73.9,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
453,Palora,EC,75.31,scattered clouds,-1.7,-77.9333,Rancho grande
455,Tamandare,BR,73.45,clear sky,-8.7597,-35.1047,Pousada 100 Passos
458,Kawalu,ID,71.56,overcast clouds,-7.3817,108.2082,West Jontor
459,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
468,Labuan,MY,77.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
472,Tabou,CI,74.59,broken clouds,4.423,-7.3528,hotêl doufoulougou
474,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
475,Soyo,AO,73.8,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
477,Chauk,MM,77.65,overcast clouds,20.8833,94.8167,Bo Khin Guest House
