City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Akhmim,EG,2022-08-29 22:31:31,26.5622,31.745,88.0,36,1,11.65
94,Ourem,PT,2022-08-29 22:32:32,39.6417,-8.5919,65.28,89,13,4.32
95,Sinnamary,GF,2022-08-29 22:32:32,5.3833,-52.95,79.21,84,94,8.21
96,Inhambane,MZ,2022-08-29 22:32:33,-23.865,35.3833,68.16,88,0,3.96
97,Arlit,NE,2022-08-29 22:28:51,18.7369,7.3853,86.49,42,97,9.91
98,Hashtrud,IR,2022-08-29 22:32:34,37.4779,47.0508,65.23,30,0,3.33
99,Teguise,ES,2022-08-29 22:32:34,29.0605,-13.564,70.02,73,20,17.27
100,Bengkulu,ID,2022-08-29 22:32:34,-3.8004,102.2655,73.44,95,100,6.78
101,Deputatskiy,RU,2022-08-29 22:32:34,69.3,139.9,50.9,68,88,2.89
102,Puerto Ayora,EC,2022-08-29 22:32:35,-0.7393,-90.3518,75.16,92,78,5.01
103,Pavlodar,KZ,2022-08-29 22:32:35,52.3,76.95,48.0,81,0,2.24
104,Georgetown,MY,2022-08-29 22:30:44,5.4112,100.3354,78.89,91,20,2.3
105,Gewane,ET,2022-08-29 22:32:35,10.1664,40.6453,77.43,65,8,4.34
106,Ambon,ID,2022-08-29 22:32:36,-3.6954,128.1814,80.74,14,40,8.05
107,Ayagoz,KZ,2022-08-29 22:32:36,47.9714,80.4392,53.06,54,0,8.86
108,Tuy Hoa,VN,2022-08-29 22:31:54,13.0833,109.3,76.71,90,47,4.27
109,Kidodi,TZ,2022-08-29 22:32:36,-7.6036,37.0044,67.77,60,0,1.74
110,East London,ZA,2022-08-29 22:32:36,-33.0153,27.9116,57.72,50,100,17.87
111,Airai,TL,2022-08-29 22:32:37,-8.9266,125.4092,63.39,73,13,3.29
112,Qaanaaq,GL,2022-08-29 22:32:37,77.484,-69.3632,29.14,67,0,2.42
113,Hangu,CN,2022-08-29 22:32:37,39.2489,117.7892,62.64,78,99,3.89
114,Gondanglegi,ID,2022-08-29 22:32:38,-7.7479,112.0132,73.74,89,81,14.85
115,Lengshuitan,CN,2022-08-29 22:32:38,26.4111,111.5956,77.65,81,89,6.08
116,New Norfolk,AU,2022-08-29 22:32:38,-42.7826,147.0587,52.72,76,100,1.48
117,Hithadhoo,MV,2022-08-29 22:32:38,-0.6,73.0833,79.57,78,98,17.0
118,Datong,CN,2022-08-29 22:32:39,40.0936,113.2914,58.98,65,45,0.76
119,Alofi,NU,2022-08-29 22:32:39,-19.0595,-169.9187,80.49,69,75,10.36
120,Plastun,RU,2022-08-29 22:32:39,44.7561,136.2939,65.86,67,85,2.06
121,Cape Town,ZA,2022-08-29 22:29:58,-33.9258,18.4232,58.37,56,0,21.85
122,Aklavik,CA,2022-08-29 22:32:40,68.2191,-135.0107,52.97,61,75,2.75
123,Yulara,AU,2022-08-29 22:32:40,-25.2406,130.9889,51.67,40,0,19.6
124,Saldanha,ZA,2022-08-29 22:32:40,-33.0117,17.9442,48.25,59,0,20.51
125,Nikolskoye,RU,2022-08-29 22:32:40,59.7035,30.7861,62.49,81,96,8.48
126,Hambantota,LK,2022-08-29 22:32:41,6.1241,81.1185,78.15,79,91,14.16
127,The Valley,AI,2022-08-29 22:32:41,18.217,-63.0578,85.86,84,40,10.36
128,Faanui,PF,2022-08-29 22:32:41,-16.4833,-151.75,77.86,74,14,10.0
129,Bethel,US,2022-08-29 22:32:41,41.3712,-73.414,86.18,71,62,1.01
130,Ewa Beach,US,2022-08-29 22:32:42,21.3156,-158.0072,87.75,56,75,16.11
131,Ribeira Grande,PT,2022-08-29 22:32:42,38.5167,-28.7,75.22,86,50,2.59
132,Santa Cruz,BO,2022-08-29 22:32:42,-17.8,-63.1667,73.45,25,75,9.22
133,Vaasa,FI,2022-08-29 22:32:42,63.096,21.6158,55.94,100,9,1.14
134,Acala,MX,2022-08-29 22:32:43,16.5667,-92.8,88.02,83,44,1.61
135,Pevek,RU,2022-08-29 22:32:43,69.7008,170.3133,37.8,82,87,2.77
136,Saint-Philippe,RE,2022-08-29 22:32:43,-21.3585,55.7679,67.59,82,41,4.21
137,Stephenville,US,2022-08-29 22:32:43,32.2207,-98.2023,98.17,44,93,8.99
138,Butaritari,KI,2022-08-29 22:32:44,3.0707,172.7902,82.22,70,100,14.9
139,Pochutla,MX,2022-08-29 22:32:44,15.7432,-96.4661,85.82,67,54,7.94
140,Majene,ID,2022-08-29 22:32:44,-3.5403,118.9707,77.54,89,98,7.23
141,Tigil,RU,2022-08-29 22:33:45,57.8,158.6667,52.57,95,99,18.86
142,Evensk,RU,2022-08-29 22:33:45,61.95,159.2333,50.99,93,100,4.65
143,Nishihara,JP,2022-08-29 22:33:45,26.1842,127.7558,84.25,82,40,4.61
144,Torbay,CA,2022-08-29 22:33:45,47.6666,-52.7314,66.38,83,75,27.63
145,Sao Jose Da Coroa Grande,BR,2022-08-29 22:33:46,-8.8978,-35.1478,73.22,84,51,9.46
146,Uyuni,BO,2022-08-29 22:33:46,-20.4597,-66.825,48.18,46,13,7.14
147,Khatanga,RU,2022-08-29 22:33:46,71.9667,102.5,41.7,93,100,9.57
148,Cockburn Town,TC,2022-08-29 22:33:04,21.4612,-71.1419,83.08,79,100,17.4
149,Remuna,IN,2022-08-29 22:33:46,21.5261,86.8722,79.52,90,31,4.36
150,Tevriz,RU,2022-08-29 22:33:47,57.509,72.4042,57.58,95,95,4.38
151,Kanniyakumari,IN,2022-08-29 22:33:48,8.0833,77.5667,77.16,85,53,16.04
152,Smoljan,ME,2022-08-29 22:33:48,43.0924,19.2286,51.57,97,100,3.02
153,Mishelevka,RU,2022-08-29 22:33:48,52.8575,103.1719,48.43,60,100,10.92
154,Talnakh,RU,2022-08-29 22:33:48,69.4865,88.3972,40.21,94,22,2.89
155,Klaksvik,FO,2022-08-29 22:33:49,62.2266,-6.589,50.92,85,32,13.62
156,Atuona,PF,2022-08-29 22:33:49,-9.8,-139.0333,76.95,71,21,22.68
157,Zverinogolovskoye,RU,2022-08-29 22:33:49,54.4586,64.8542,62.02,63,5,4.74
158,Wagar,SD,2022-08-29 22:33:49,16.1525,36.2032,89.22,40,6,6.87
159,Portland,US,2022-08-29 22:32:25,45.5234,-122.6762,95.95,35,40,11.5
160,Albury,AU,2022-08-29 22:30:18,-36.0833,146.9167,52.02,100,52,7.0
161,Pingliang,CN,2022-08-29 22:33:50,35.5392,106.6861,56.14,71,69,4.52
162,Buraydah,SA,2022-08-29 22:33:53,26.326,43.975,86.45,12,4,10.09
163,Bambous Virieux,MU,2022-08-29 22:33:54,-20.3428,57.7575,66.45,94,40,3.44
164,Iqaluit,CA,2022-08-29 22:33:54,63.7506,-68.5145,46.13,76,40,3.44
165,Kedrovyy,RU,2022-08-29 22:33:54,56.1667,91.8167,30.61,96,44,1.16
166,Midland,US,2022-08-29 22:30:49,31.9974,-102.0779,93.06,39,0,12.66
167,Vanimo,PG,2022-08-29 22:33:55,-2.6741,141.3028,79.93,80,100,4.94
168,Flinders,AU,2022-08-29 22:33:55,-34.5833,150.8552,64.06,89,65,5.99
169,Richards Bay,ZA,2022-08-29 22:33:58,-28.783,32.0377,62.53,79,100,20.54
170,Kuchurhan,UA,2022-08-29 22:33:58,47.163,29.7894,76.41,49,100,4.16
171,Tubmanburg,LR,2022-08-29 22:33:59,6.8708,-10.8172,71.24,97,20,2.17
172,Svetlogorsk,BY,2022-08-29 22:33:59,52.6333,29.7333,68.86,67,89,7.0
173,Jyvaskyla,FI,2022-08-29 22:33:59,62.2415,25.7209,50.34,89,0,6.91
174,Ilulissat,GL,2022-08-29 22:33:59,69.2167,-51.1,57.22,41,75,17.27
175,Port Hedland,AU,2022-08-29 22:34:00,-20.3167,118.5667,60.85,39,8,8.05
176,Puerto Del Rosario,ES,2022-08-29 22:34:00,28.5004,-13.8627,73.15,78,20,19.57
177,Husavik,IS,2022-08-29 22:34:00,66.0449,-17.3389,54.48,78,49,12.68
178,Victoria Point,AU,2022-08-29 22:34:01,-27.5833,153.3,65.17,83,100,7.11
179,Sanchor,IN,2022-08-29 22:34:01,24.7553,71.7722,80.24,74,86,4.18
180,Grindavik,IS,2022-08-29 22:34:02,63.8424,-22.4338,55.35,94,100,34.52
181,Lardos,GR,2022-08-29 22:34:02,36.0942,28.0157,78.94,79,0,8.57
182,Pandan Niog,PH,2022-08-29 22:34:03,6.2282,120.5631,81.81,75,97,7.87
183,Itamarandiba,BR,2022-08-29 22:31:30,-17.8572,-42.8589,67.57,56,60,8.21
184,Chokurdakh,RU,2022-08-29 22:34:03,70.6333,147.9167,41.27,72,70,13.11
185,Cabedelo,BR,2022-08-29 22:34:04,-6.9811,-34.8339,75.87,81,40,13.73
186,Longyearbyen,SJ,2022-08-29 22:34:05,78.2186,15.6401,39.04,70,75,0.0
187,Lanzhou,CN,2022-08-29 22:30:07,36.0564,103.7922,56.91,79,62,1.23
188,Mayo,US,2022-08-29 22:34:05,38.8876,-76.5119,89.94,70,0,12.66
189,Nouadhibou,MR,2022-08-29 22:34:08,20.931,-17.0347,75.18,73,1,17.27
190,Two Rivers,US,2022-08-29 22:35:09,44.1539,-87.5693,85.15,56,0,10.36
191,Mareeba,AU,2022-08-29 22:31:31,-17.0,145.4333,70.45,93,81,7.11
192,Senador Pompeu,BR,2022-08-29 22:35:09,-5.5881,-39.3717,82.02,34,21,3.15
193,Dauphin,CA,2022-08-29 22:35:09,51.1494,-100.0502,75.34,41,20,14.97
194,Vao,NC,2022-08-29 22:35:09,-22.6667,167.4833,69.13,61,44,19.75
195,Teya,RU,2022-08-29 22:35:10,60.3778,92.6267,32.88,92,81,5.41
196,North Bend,US,2022-08-29 22:30:51,43.4065,-124.2243,87.24,77,0,12.66
197,Petropavlovsk-Kamchatskiy,RU,2022-08-29 22:35:10,53.0452,158.6483,59.59,72,75,6.71
198,Payo,ID,2022-08-29 22:35:10,-3.7508,103.6372,71.58,97,100,1.41
199,Lasa,IT,2022-08-29 22:35:11,46.6166,10.7002,67.08,83,44,0.87
200,Qaqortoq,GL,2022-08-29 22:35:11,60.7167,-46.0333,39.94,90,68,5.57
201,Henties Bay,NA,2022-08-29 22:35:11,-22.116,14.2845,53.4,86,1,5.08
202,Hirara,JP,2022-08-29 22:35:11,24.8,125.2833,84.06,94,40,3.44
203,Peleduy,RU,2022-08-29 22:35:12,59.6289,112.7406,41.41,89,100,14.92
204,Semey,KZ,2022-08-29 22:35:12,50.4111,80.2275,57.24,50,11,5.59
205,Pacific Grove,US,2022-08-29 22:33:30,36.6177,-121.9166,74.21,73,0,14.97
206,Valdivia,CL,2022-08-29 22:31:22,-39.8142,-73.2459,57.29,92,100,1.21
207,Nanortalik,GL,2022-08-29 22:35:12,60.1432,-45.2371,39.88,89,99,8.79
208,Esperance,AU,2022-08-29 22:35:13,-33.8667,121.9,47.32,78,33,8.95
209,Sao Joao Da Barra,BR,2022-08-29 22:35:13,-21.6403,-41.0511,65.14,73,73,20.56
210,Lompoc,US,2022-08-29 22:32:48,34.6391,-120.4579,87.78,61,0,13.8
211,Sonoita,MX,2022-08-29 22:35:13,31.85,-112.8333,99.59,29,0,7.2
212,Luderitz,NA,2022-08-29 22:35:14,-26.6481,15.1594,59.79,42,0,5.55
213,Kuytun,RU,2022-08-29 22:35:14,54.3419,101.5036,37.27,94,77,7.0
214,Wawa,NG,2022-08-29 22:35:14,9.9022,4.4192,73.29,93,100,2.71
215,Kailua,US,2022-08-29 22:35:14,21.4022,-157.7394,87.78,69,75,11.5
216,Praia,CV,2022-08-29 22:35:15,14.9215,-23.5087,79.34,78,40,13.8
217,Sioux Lookout,CA,2022-08-29 22:35:15,50.1001,-91.917,66.27,82,75,11.5
218,Lampazos De Naranjo,MX,2022-08-29 22:35:15,27.0167,-100.5167,95.9,35,77,13.11
219,Carnarvon,AU,2022-08-29 22:35:16,-24.8667,113.6333,60.96,43,2,14.47
220,Rudnya,RU,2022-08-29 22:35:16,54.947,31.0934,60.82,83,83,2.46
221,Acapulco,MX,2022-08-29 22:30:19,16.8634,-99.8901,87.62,62,75,10.36
222,Lahaina,US,2022-08-29 22:35:16,20.8783,-156.6825,84.81,76,12,6.78
223,Nanakuli,US,2022-08-29 22:35:16,21.3906,-158.1547,87.75,56,75,16.11
224,Grand-Bourg,GP,2022-08-29 22:35:17,15.8835,-61.3148,84.15,81,7,15.5
225,Tala,EG,2022-08-29 22:35:17,30.6803,30.9429,74.01,86,0,5.7
226,Fuerte,PH,2022-08-29 22:35:17,17.5381,120.3644,80.89,82,67,3.15
227,Korhogo,CI,2022-08-29 22:35:18,9.45,-5.6333,70.75,95,43,3.76
228,Beringovskiy,RU,2022-08-29 22:35:18,63.05,179.3167,49.55,98,100,17.98
229,Albufeira,PT,2022-08-29 22:35:18,37.0882,-8.2503,69.03,69,0,9.62
230,Gazanjyk,TM,2022-08-29 22:35:18,39.2446,55.5154,76.46,17,0,7.65
231,Chuy,UY,2022-08-29 22:36:19,-33.6971,-53.4616,44.29,74,1,5.77
232,Loviisa,FI,2022-08-29 22:36:19,60.4566,26.2251,52.29,77,92,10.29
233,Tarbes,FR,2022-08-29 22:36:19,43.25,0.1667,72.07,60,0,11.5
234,Kirensk,RU,2022-08-29 22:36:20,57.7853,108.1119,37.98,86,91,12.68
235,Brest,BY,2022-08-29 22:36:20,52.1,23.7,57.31,79,0,7.74
236,Axim,GH,2022-08-29 22:36:20,4.8699,-2.2405,73.89,92,12,6.22
237,Kijang,KR,2022-08-29 22:36:20,35.2442,129.2139,74.93,81,83,9.01
238,Kahului,US,2022-08-29 22:36:21,20.8947,-156.47,84.85,68,40,20.71
239,Fomboni,KM,2022-08-29 22:36:21,-12.28,43.7425,75.36,78,0,7.7
240,San Francisco,US,2022-08-29 22:35:53,37.7749,-122.4194,87.31,71,0,21.0
241,Coari,BR,2022-08-29 22:36:21,-4.085,-63.1414,79.72,70,76,1.5
242,Ternovka,RU,2022-08-29 22:36:22,51.678,41.6375,67.5,52,93,6.87
243,Prado,BR,2022-08-29 22:33:09,-17.3411,-39.2208,69.98,90,67,18.19
244,Uyemskiy,RU,2022-08-29 22:36:22,64.4743,40.8524,48.25,93,0,4.47
245,Kodiak,US,2022-08-29 22:36:22,57.79,-152.4072,60.31,72,75,6.91
246,Sitka,US,2022-08-29 22:36:22,57.0531,-135.33,62.49,72,75,12.66
247,Padang,ID,2022-08-29 22:36:23,-0.9492,100.3543,73.74,90,100,3.91
248,San Jose,US,2022-08-29 22:33:17,37.3394,-121.895,89.58,51,20,12.66
249,Kirakira,SB,2022-08-29 22:36:23,-10.4544,161.9205,81.91,78,57,11.63
250,Ancud,CL,2022-08-29 22:36:23,-41.8697,-73.8203,45.52,85,100,0.98
251,Zalantun,CN,2022-08-29 22:36:24,48.0,122.7167,57.43,73,46,2.71
252,Camacha,PT,2022-08-29 22:36:24,33.0833,-16.3333,67.42,68,20,4.61
