City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Quatre Cocos,MU,-20.2078,57.7625,69.91,69,77,8.39,broken clouds
113,Flin Flon,CA,54.7682,-101.865,76.89,23,36,7.67,scattered clouds
114,Esperance,AU,-33.8667,121.9,54.34,66,40,14.32,scattered clouds
115,Atikokan,CA,48.7555,-91.6216,76.98,22,30,5.95,scattered clouds
116,New Norfolk,AU,-42.7826,147.0587,48.92,81,89,1.45,overcast clouds
117,Tuatapere,NZ,-46.1333,167.6833,44.69,81,55,3.69,broken clouds
118,Hobart,AU,-42.8794,147.3294,49.26,91,75,9.22,broken clouds
119,Atasu,KZ,48.6814,71.6433,53.42,33,84,5.75,broken clouds
120,Port Macquarie,AU,-31.4333,152.9167,56.89,78,51,7.09,broken clouds
121,Mecca,SA,21.4267,39.8261,86.7,45,2,5.7,clear sky
122,Hasaki,JP,35.7333,140.8333,73.8,85,66,15.9,broken clouds
123,Ovsyanka,RU,55.9575,92.5519,69.22,65,100,9.15,overcast clouds
124,Santiago Del Estero,AR,-27.7951,-64.2615,82.99,20,77,10.45,broken clouds
125,Genhe,CN,50.7833,121.5167,43.81,91,9,2.51,clear sky
126,Kishi,NG,9.0833,3.85,71.85,94,95,1.12,overcast clouds
127,Nuuk,GL,64.1835,-51.7216,43.41,93,75,1.14,broken clouds
128,Ilebo,CD,-4.3167,20.5833,74.71,81,40,1.88,scattered clouds
129,Vao,NC,-22.6667,167.4833,69.26,71,14,14.58,few clouds
130,Fortuna,US,40.5982,-124.1573,75.65,45,89,6.96,overcast clouds
131,Thompson,CA,55.7435,-97.8558,74.19,24,12,8.7,few clouds
132,Port Elizabeth,ZA,-33.918,25.5701,56.32,98,1,1.12,clear sky
133,Ballina,AU,-28.8667,153.5667,57.02,99,16,1.92,few clouds
134,Colares,PT,38.7992,-9.4469,72.34,70,75,11.99,broken clouds
135,Georgetown,MY,5.4112,100.3354,78.73,92,20,2.3,few clouds
136,Kodiak,US,57.79,-152.4072,54.91,82,100,13.8,light rain
137,Lorengau,PG,-2.0226,147.2712,82.35,74,61,2.93,broken clouds
138,Kangalassy,RU,62.3464,129.9628,46.33,69,100,20.67,overcast clouds
